"localidad","barrio","precio","habitaciones","area (m2)"
"teusaquillo","ciudad salitre","3100000","3","92"
"teusaquillo","armenia","650000","1","25"
"teusaquillo","teusaquillo","1400000","1","63"
"teusaquillo","la soledad","3200000","2","104"
"teusaquillo","sucre","1200000","1","40"
"teusaquillo","la magdalena","1600000","1","52"
"teusaquillo","el recuerdo","800000","1","20"
"teusaquillo","sucre","1000000","1","28"
"teusaquillo","las americas","1000000","1","20"
"teusaquillo","el salitre","1900000","3","90"
"teusaquillo","ciudad salitre","3000000","2","87"
"teusaquillo","ciudad salitre","2500000","3","84"
"teusaquillo","teusaquillo","1650000","1","65"
"teusaquillo","teusaquillo","1600000","1","45"
"teusaquillo","quintaparedes","2400000","1","107"
"teusaquillo","teusaquillo","980000","1","30"
"teusaquillo","santa fe","2000000","3","92"
"teusaquillo","armenia","33500010","1","80"
"teusaquillo","santa fe","2130000","2","64"
"teusaquillo","ciudad salitre","2300000","3","64"
"teusaquillo","la soledad ","4636000","3","178"
"teusaquillo","la soledad","1520000","1","50"
"teusaquillo","quesada","1900000","3","80"
"teusaquillo","teusaquillo","1200000","1","50"
"teusaquillo","el salitre","1800000","3","90"
"teusaquillo","teusaquillo","1640000","1","40"
"teusaquillo","gran america","1080000","1","21"
"teusaquillo","las americas","1300000","1","40"
"teusaquillo","quintaparedes","1400000","3","54"
"teusaquillo","el recuerdo","1389000","2","68"
"teusaquillo","san luis","2280000","2","80"
"teusaquillo","la soledad","1500000","2","78"
"teusaquillo","teusaquillo","1800000","1","44"
"teusaquillo","la esperanza norte","6200000","4","198"
"teusaquillo","el recuerdo","1200000","2","30"
"teusaquillo","sucre","1500000","1","78"
"teusaquillo","teusaquillo","2700000","2","56"
"teusaquillo","la esmeralda","1400000","1","25"
"teusaquillo","teusaquillo","1650000","2","80"
"teusaquillo","alfonso lopez","1471000","2","60"
"teusaquillo","sagrado corazon","1500000","1","46"
"teusaquillo","las americas","1600000","3","110"
"teusaquillo","quesada","815000","1","50"
"teusaquillo","el recuerdo","2600000","3","140"
"teusaquillo","la magdalena","7000000","1","300"
"bosa","san bernardino","500000","2","34"
"bosa","el porvenir","700000","3","50"
"bosa","jimenez de quesada","581500","2","50"
"bosa","el retazo","700000","3","63"
"bosa","gualoche","580000","3","84"
"bosa","la cabaña","476692","2","48"
"bosa","san pablo","580000","2","46"
"bosa","brasil","600000","3","48"
"bosa","potosi","466000","3","44"
"bosa","el retazo","800000","2","108"
"bosa","el retazo","800000","2","118"
"bosa","el corzo","512000","2","43"
"bosa","el corzo","530000","3","50"
"bosa","el porvenir","600000","2","48"
"bosa","brasil","680000","2","52"
"bosa","el retazo","700000","3","63"
"bosa","el retazo","800000","4","68"
"bosa","san bernardino","396000","2","41"
"bosa","villa del rio","722000","2","50"
"bosa","el porvenir","600000","2","46"
"bosa","parcela del porvenir","550000","2","42"
"bosa","conjunto residencial violeta","450000","3","42"
"bosa","san bernardino","980000","2","38"
"bosa","san bernardino","595000","2","39"
"bosa","el retazo","1000000","3","130"
"bosa","jimenez de quesada","550000","2","55"
"bosa","gualoche","813000","2","74"
"bosa","san bernardino","608000","2","40"
"bosa","el porvenir","600000","2","48"
"bosa","brasil","680000","2","52"
"bosa","retazo","700000","3","63"
"bosa","el retazo","800000","4","68"
"bosa","potosi","550000","3","40"
"bosa","el corzo","500000","2","40"
"bosa","jorge uribe botero","700000","3","44"
"bosa","san bernardino","590000","2","39"
"bosa","centro bosa","581500","2","50"
"bosa","parcela el porvenir","550000","2","40"
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"bosa","","","",""
"barrios unidos","el rosario","1199999","2","48"
"barrios unidos","estoril","2862000","4","155"
"barrios unidos","san felipe","1100000","1","31"
"barrios unidos","simon bolivar","870000","1","35"
"barrios unidos","lago gaitan","20000000","1","737"
"barrios unidos","alcazares","1300000","1","40"
"barrios unidos","juanxxIII","1400000","2","70"
"barrios unidos","juanxxIII","1350000","2","80"
"barrios unidos","juanxxIII","1400000","2","71"
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"suba","subaurbano","1200000","3","68"
"suba","club los lagartos","5000000","3","200"
"suba","atardeceres de suba","1000000","2","47"
"suba","puerta del sol","775000","2","42"
"suba","tibabuyes","1124000","3","71"
"suba","almendros","780000","3","46"
"suba","villa elisa","1750000","3","59"
"suba","suba urbano","1100000","1","41"
"suba","altos de suba","800000","3","58"
"suba","bilbao","800000","3","56"
"suba","tibabuyes","1000000","3","60"
"suba","suba urbano","1200000","3","70"
"suba","las flores ","1200000","2","50"
"suba","tibabuyes","1400000","3","59"
"suba","santa helena","2837000","3","132"
"suba","turinguia","887000","3","59"
"suba","casa blanca","1355000","3","82"
"suba","turinguia","1050000","3","68"
"suba","nisa ","3000000","3","140"
"suba","tuna alta","707000","2","42"
"suba","las flores ","830000","3","85"
"suba","nisa ","2216000","3","168"
"suba","suba urbano","1180000","2","55"
"suba","suba urbano","1200000","3","55"
"suba","suba urbano","1350000","3","68"
"suba","suba compartir","850000","3","50"
"suba","club los lagartos ","820000","3","45"
"suba","almendros","734000","3","50"
"suba","suba urbano","809000","2","70"
"suba","nisa ","12000000","4","273"
"suba","tibabuyes","860000","2","54"
"suba","la campiña","1200000","2","60"
"suba","casa blanca","2100000","3","86"
"suba","san alfonso","5900000","3","130"
"suba","la conejera","798300","3","54"
"suba","tibabuyes","802800","2","38"
"suba","lombardia","800000","3","50"
"suba","club los lagartos","6200000","4","325"
"suba","tibabuyes","640700","3","45"
"suba","villa maria","750000","2","50"
"suba","nisa ","4696800","4","200"
"suba","nuevo suva","1150000","3","65"
"suba","nisa ","500000","1","25"
"suba","san alfonso","5200000","4","196"
"suba","bosques de san jorge ","1180000","3","75"
"suba","puerta del sol","770700","2","46"
"suba","pinar de suba","700000","1","39"
"suba","rodesia","730000","2","43"
"suba","naranjos","4558000","4","487"
"suba","costa sur","800000","1","51"
